;Título;Ult. 30 dias;Mês Anterior;No Ano;12 Meses;Compra;Venda;Vencimento
0;TESOURO PREFIXADO  2022;0.65;0.6;2.44;2.72;-;9.31;01/01/2022
1;TESOURO PREFIXADO  2023;1.09;1.45;-3.07;-2.67;-;11.87;01/01/2023
2;TESOURO PREFIXADO  2024;3.07;2.91;-;-;11.00;11.12;01/07/2024
3;TESOURO PREFIXADO  2025;3.76;3.16;-8.41;-7.31;-;10.99;01/01/2025
4;TESOURO PREFIXADO  2026;4.82;3.85;-10.55;-9.07;10.75;10.87;01/01/2026
5;TESOURO PREFIXADO  com Juros Semestrais 2023;1.07;1.4;-2.41;-1.75;-;11.88;01/01/2023
6;TESOURO PREFIXADO  com Juros Semestrais 2025;3.1;2.84;-7.30;-5.82;-;10.97;01/01/2025
7;TESOURO PREFIXADO  com Juros Semestrais 2027;4.29;3.5;-10.07;-7.89;-;10.89;01/01/2027
8;TESOURO PREFIXADO  com Juros Semestrais 2029;4.71;4.19;-12.61;-10.33;-;10.96;01/01/2029
9;TESOURO PREFIXADO  com Juros Semestrais 2031;4.94;4.48;-14.12;-11.36;10.86;10.98;01/01/2031
10;TESOURO SELIC  2023;0.62;0.56;4.24;4.35;-;0.05;01/03/2023
11;TESOURO SELIC  2024;0.65;0.6;-;-;0.11;0.12;01/09/2024
12;TESOURO SELIC  2025;0.65;0.6;4.20;4.41;-;0.15;01/03/2025
13;TESOURO SELIC  2027;0.69;0.63;-;-;0.25;0.26;01/03/2027
14;TESOURO IGPM+  com Juros Semestrais 2031;-0.36;2.84;10.06;6.50;-;5.3;01/01/2031
15;TESOURO IPCA+  2024;0.98;3.23;1.47;2.19;-;5.45;15/08/2024
16;TESOURO IPCA+  2026;1.13;4.05;-1.18;-0.11;5.13;5.25;15/08/2026
17;TESOURO IPCA+  2035;-0.43;6.74;-11.62;-9.81;5.24;5.36;15/05/2035
18;TESOURO IPCA+  2045;-1.74;10.64;-26.71;-24.56;5.24;5.36;15/05/2045
19;TESOURO IPCA+  com Juros Semestrais 2024;0.92;3.12;2.37;3.07;-;5.47;15/08/2024
20;TESOURO IPCA+  com Juros Semestrais 2026;1.08;3.79;0.31;1.29;-;5.27;15/08/2026
21;TESOURO IPCA+  com Juros Semestrais 2030;0.9;4.37;-3.61;-2.02;5.17;5.29;15/08/2030
22;TESOURO IPCA+  com Juros Semestrais 2035;0.18;5.25;-6.55;-4.97;-;5.35;15/05/2035
23;TESOURO IPCA+  com Juros Semestrais 2040;-0.19;5.45;-7.13;-5.24;5.27;5.39;15/08/2040
24;TESOURO IPCA+  com Juros Semestrais 2045;-0.91;5.11;-7.88;-6.37;-;5.47;15/05/2045
25;TESOURO IPCA+  com Juros Semestrais 2050;-1.23;5.36;-10.07;-8.22;-;5.5;15/08/2050
26;TESOURO IPCA+  com Juros Semestrais 2055;-1.0;5.84;-11.86;-9.78;5.36;5.48;15/05/2055
